date;names
28.04.2024;Александр, Андрей, Аристарх, Виктор, Кондрат, Леонид, Лукьян, Севастьян, Трофим, Федор, Анастасия, Василиса
29.04.2024;Леонид, Михаил, Павел, Тимофей, Василиса, Галина, Ирина, Ника
30.04.2024;Адриан, Александр, Ефрем, Иван, Михаил, Семен, Федор
01.05.2024;Василий, Виктор, Виссарион, Ефим, Иван, Кузьма, Михаил, Феликс, Тамара
02.05.2024;Виктор, Георгий, Дмитрий, Иван, Семен
03.05.2024;Александр, Гавриил, Григорий, Николай, Федор
04.05.2024;Александр, Алексей, Денис, Иван, Максим, Николай, Федор
05.05.2024;Виталий, Всеволод, Гавриил, Дмитрий, Климент, Платон, Федор
06.05.2024;Анатолий, Афанасий, Валерий, Георгий, Иван, Александра, Валерия
07.05.2024;Алексей, Валентин, Иннокентий, Иосиф, Леонтий, Николай, Сергей, Елизавета
08.05.2024;Василий, Марк, Сергей
09.05.2024;Василий, Иван, Николай, Петр, Степан, Глафира
10.05.2024;Георгий, Иван, Иларион, Николай, Павел, Петр, Семен, Сергей, Степан, Анастасия, Мария
11.05.2024;Виталий, Кирилл, Максим, Анна
12.05.2024;Арсений, Артем, Василий, Иван, Федот
13.05.2024;Василий, Ефрем, Игнатий, Климент, Максим, Никита, Яков
14.05.2024;Герасим, Ефим, Игнатий, Макар, Нина, Тамара
15.05.2024;Афанасий, Борис, Глеб, Давид, Роман, Зоя
16.05.2024;Викентий, Николай, Павел, Петр, Тимофей, Ульяна
17.05.2024;Иван, Исаакий, Кирилл, Климент, Леонтий, Никита, Николай, Мария, Пелагея
18.05.2024;Адриан, Яков, Ирина
19.05.2024;Василий, Денис, Иван, Иларион, Марфа
20.05.2024;Антон, Давид, Иван, Иосиф, Михаил, Семен, Степан, Фаддей
21.05.2024;Адриан, Арсений, Иван
22.05.2024;Василий, Гавриил, Дмитрий, Иосиф, Николай, Семен, Акулина
23.05.2024;Василий, Кирилл, Таисия
24.05.2024;Александр, Иосиф, Кирилл, Константин, Михаил, Ростислав
25.05.2024;Герман, Денис, Иван, Петр, Семен, Федор, Филипп, Евдокия
26.05.2024;Александр, Василий, Георгий, Ефим, Макар, Сергей, Тарас, Юрий, Ирина
27.05.2024;Александр, Иван, Леонтий, Макар, Максим, Марк, Никита, Петр, Тихон
28.05.2024;Дмитрий, Макар, Памфил
29.05.2024;Александр, Аркадий, Георгий, Ефрем, Модест, Николай, Петр, Федор, Муза
30.05.2024;Адриан, Афанасий, Степан, Евдокия
31.05.2024;Андрей, Богдан, Василий, Давид, Денис, Ираклий, Лев, Макар, Михаил, Павел, Петр, Семен, Федор, Федот, Юлиан, Александра, Клавдия, Кристина, Фаина, Юлия
01.06.2024;Александр, Андрей, Антон, Валентин, Василий, Виктор, Георгий, Григорий, Дмитрий, Иван, Игнатий, Корнилий, Максим, Матвей, Митрофан, Михаил, Николай, Олег, Павел, Сергей, Анастасия
02.06.2024;Александр, Алексей, Владимир, Иван, Никита, Тимофей
